Zavarodottság dala,bárd,Dalmágia,6/célpont,4,1 perc,k6 kör,10 láb sugarú kör,Mentális,,,,,,,"A dal hatására az azt halló célpontok, ha 10 lábnyi körön belül tartózkodnak és sikertelen volt Mágiaellenállásuk, teljesen zavarodottá válnak. Nem tudják, mit tegyenek, csak tétován álldogálnak. Ha megtámadják őket, védekeznek, de a támadásra kevésbé koncentrálnak, így TÉ-jük 25-tel csökken. A varázslat erőssége 1 Mana-ponttal növelhető meg 1 E-nként, időtartama a bárd énekének végéig tart. A varázslat megszűnésével a zavarodott áldozatok 1k6 kör után nyerik vissza igazi cselekvőképességüket, addig még az ének hatása alatt állnak."
Távolság dala,bárd,"Hangmágia
",10/szorzó,5,1 szegmens,lásd a leírásban,"-
",-,,,,,,,"Ez a varázslat bármely daltípusú varázslattal együtt használható. A Dalmágia hangerejét többszörösére növeli, így a hatósugár is nő. A hatósugár 2, 3, 4-szeresére növelhető, méghozzá a kétszeres növelés 10, a háromszoros 20, a négyszeres 30 Mana-pontért, stb. A varázslat hatóideje megegyezik a ""hangosított” dal időtartamával."
Mágia dala,bárd,"Hangmágia
",10,5,1 szegmens,-,"-
",-,,,,,,,"Ez a dal lehetőséget ad a bárdnak arra, hogy nem daltípusú varázslatokat muzsikálás vagy éneklés leple alatt alkalmazzon. A két varázslat egyszerre lép működésbe, de a Mágia dala csak a másik varázslat megidézéséhez -és leplezéséhez-szükséges. Így észrevétlenül varázsolhat a bárd akár nagy tömegben is, hiszen a megfigyelők csak annyit tapasztalnak, hogy énekel."
Dalegyesítés,bárd,"Hangmágia
",18,5,1 szegmens,-,"-
",-,,,,,,,"Ez a varázslat pusztán egy akkord, egy felütés, melynek segítségével két, különböző hatású dalból egy harmadik dal születik. A zene összetettebbé, bonyolultabbá válik, a két varázslat pedig egyszerre alkalmazható. A varázslatok nem idézhetők meg egy azonos körben: először az egyik, majd a másik jön létre. A kettő ezek után együtt működik. Ily módon kombinálható például a Nyugtatás dala és az Alom dala - mely utóbbi hatásához e varázslat nélkül önmágában is több körre lenne szükség. A két együttesen ható varázslat minden tekintetben úgy működik, mintha a bárd egyenként használná őket. A Dalegyesítést a Mágiadalával együtt alkalmazva nem daltípusú varázslatok is működhetnek a fenti módon."
Beszélő múlt,bárd,"Hangmágia
",19,1,1 perc,15 perc,20 láb sugarú kör,-,,,,,,,"A varázslat segítségével a bárd hallhatja egy rég elhunyt személy legfontosabb szavait. Ez egyfajta tudatalatti kapcsolat a lélekkel, de nem kétirányú kommunikáció, mivel a bárd nem ért a nekromanciához. Csak olyan lényeges, a személyhez az idő távolából is kötődő mondatokat hallhat, melyek az elhunyt legmaradandóbb gondolatai, legfontosabb felfedezései avagy észrevételei voltak. A varázslattal bármilyen egykor élt személy szóra bírható, de az mindig saját anyanyelvén fog megszólalni, illetve azon a nyelven, melyen az eredeti szavakat kimondta. A varázslat hatóideje 15 perc, ennél hosszabban senki szavait nem lehet visszaidézni."
Csend,bárd,"Hangmágia
",10,8,1 kör,1 kör/szint,8 láb sugarú kör,-,,,,,,,"A bárd ezzel a varázslattal minden hangot megszüntethet egy adott területen. Ez egy maximum 8 láb sugarú kör, melyen belül semmiféle hang nem lesz észlelhető. Ez a varázslók működését is megnehezíti, hiszen varázslataik hangkomponense mindaddig nem hallható, amíg az adott területen belül tartózkodnak; így minden varázslat megidézése kétszer annyi időbe kerül majd. A varázslat felhasználható lopakodáskor is, hisz így a bárd teljesen zaj nélkül közlekedhet. A varázslat hatóideje 1 kör szintenként."
Zajkeltés,bárd,"Hangmágia
",1,1,1 szegmens,1 kör,15 láb sugarú kör,-,,,,,,,"Ezzel a rövid ideig tartó varázslattal a bárd tetszőleges zajt idézhet fel egy kiválasztott irányból. A varázslat akkor hasznos, ha a szükséges hang csak egy ajtó nyikordulása, egy tárgy hangos puffanása vagy futó léptek dobbanása a távolban. Ez sokkal kevésbé manaigényes, mintha a Hangteremtést használná. A Zajkeltés maximális hossza 1 kör lehet."
Távoli üzenet,bárd,"Hangmágia
",25,25,2 perc,egyszeri,korlátlan,-,,,,,,,"A varázslat segítségével a bárd kommunikálhat egy távoli személlyel. A kívánt üzenet nem lehet hosszabb két percesnél, de a távolság nincs megkötve. A bárdnak csak a személyre kell gondolnia, s elsuttognia az üzenetet. Az adott személy/lény lesz a célpont, és csak ő hallja meg az elsuttogott szavakat."
Mágikus hang,bárd,"Hangmágia
",8,1,1 kör,Végleges,érintés,-,,,,,,,"A varázslat egy láthatatlan hangforrást teremt, amely 25 szó tárolására képes. A szöveget csak akkor mondja ki, ha a bárd által meghatározott feltételek teljesülnek. Ezek lehetnek időponthoz, személyhez, eseményhez köthetőek is. Ilyen feltétel lehet például, hogy a hang akkor szólaljon meg, ha valaki elhalad a hangforrás előtt, vagy ha valaki fegyvert ránt a hangforrás által őrzött teremben. A rejtett forrás legfeljebb kiáltás erősségű hangkibocsátásra lehet képes, s nem csak beszéd, de zene is tárolható benne. Ennek hossza 2 perc lehet, s a bárdnak ”elő kell játszania” a később hallani kívánt motívumot. A varázslat mindaddig ""várakozik”, míg a megszabott feltétel nem teljesül."
Nyelvzagyválás,bárd,"Hangmágia
",6,5,1 szegmens,perc/szint,15 láb,-,,,,,,,"A bárd ezt a varázslatot bármely lény ellen alkalmazhatja. Hatására a személy vagy kreatúra szavai más nyelven hangzanak el, mint amelyiken az illető kimondta őket. Hogy a jelenség még bizarrabb és zavaróbb legyen, a fordítás nyelve sem egységes, minden egyes szó más és más nyelven szólal meg. Ez lehetetlenné tehet mindenfajta kommunikációs kísérletet. A mágia ellen nincs ellenállás, mert kizárólag a hangot változtatja meg, ami a lénynek már nem része. A varázslat hatóideje 1 perc szintenként, s a célpont legfeljebb 15 láb távolságban tartózkodhat a varázslat megidézésének pillanatában. A varázslat hatása Mágia szétoszlatásával megszüntethető."
Hamis beszéd,bárd,"Hangmágia
",7,2,1 szegmens,perc/szint,15 láb,-,,,,,,,"Ezzel a varázslattal a bárd maga beszélhet a kiválasztott célpont helyett. Az áldozat elnémul, a hangok azonban - látszólag legalábbis - változatlanul felőle szólnak. A hihetőség kedvéért a bárdnak figyelnie kell áldozatát, hiszen ha az beszél, s tátog, neki is mondania kell valamit, nehogy gyanút keltsen. Ha a másik hallgat, ajánlatos a bárdnak is hallgatnia. A beszélő, akinek hangja semmivé enyészett, saját szavait fogja hallani, s a háttérben, nagyon halkan, a bárd beszédét is. A bárd hangja a sajátja marad, így, ha valaki ismeri az áldozat igazi hangját, könnyen rájöhet a csalásra. 8 Mana-pont befektetésével azonban a bárd ezt is megakadályozhatja: hangja ekkor az áldozatéhoz válik hasonlatossá. Ennek feltétele az, hogy a bárd legalább egyszer hallja önállóan szólni az illetőt. A varázslat még így is gyanússá válhat, ha a harmadik fél ismeri az áldozat hanghordozását vagy beszédstílusát, esetleg ért a szájról olvasáshoz. A varázslat hatótávolsága 15 láb, Időtartama 1 perc szintenként."
Rejtett üzenet,bárd,"Hangmágia
",5,1,lásd a leírásban,egyszeri,hallótávolság,-,,,,,,,"A varázslat segítségével a bárd hangosan üzenhet akár tömegben is, szavait csak az általa kiválasztottak fogják megérteni. A mágia megidézése után a bárd két percen keresztül beszélhet, mondanivalója érthetetlen marad. Jóllehet, hangosan szól, ám a betűk sorrendje teljesen felcserélődik. A bárd szintenként egy lényt kiválaszthat, aki a betűket hibátlan sorrendjükben hallja, az zavartalanul kapja meg az üzenetet. A varázslat hatósugara a hallótávolság, ideje pedig a már említett két perc."
Hangtanulmány,bárd,"Hangmágia
",2,1,3 perc,Végleges,5 láb,- ,,,,,,,"Szinte mindenben hasonlít a Tanulmány nevű varázslathoz. Általa tanulmányozott lény hangja lesz újra meg újra felhasználható. Ha a varázslatot a bárd konkrét személy hangjaik elraktározására használja, kétszer kell megidéznie a varázslatot, ugyanúgy, mint a Tanulmány esetében. A varázslat segítségével utánozható lesz a hangerősség, magasság és hanghordozás is, a stílus azonban nem. Ezt a bárdnak meg kell tanulnia, el kell lesnie, minden misztikum nélkül. A varázslat folyamatos koncentrációt igényel, ideje három perc."
Hangutánzás,bárd,"Hangmágia
",4,1,3 szegmens,15 perc/szint,35 láb,- ,,,,,,,"A varázslat hasonlít a Lényteremtéshez, csak épp hanggal hajtja végre a bárd. A kiválasztott lény hangmintája tetszőleges pontból szólaltatható meg, s ez nem csak a hangszálak keltette rezgéseket, de a lény által csapott egyéb zajokat is magába foglalja. A felfedezési esélyek megegyeznek a Lényteremtésben leírtakkal, s a Hangtanulmány varázslat is úgy hat rá, mint a Tanulmány a Lény teremtésre. A varázslat bármilyen lény hangját létrehozhatja, s a bárdnak csak akkor kell rá koncentrálnia, ha a teremtett hang beszéd. A bárd csak számára ismert nyelveket használhat a varázslatban, s ennek szavait is meg kell formálnia elméjében, csak akkor kerülhetnek kimondásra. A varázslat 15 percig tartható fenn szintenként, hatótávolsága 35 láb, s a Lényteremtéssel együtt alkalmazva mindig követi a megalkotott képet, ha a bárd úgy kívánja."
Hangorkán,bárd,"Hangmágia
",22,4,4 szegmens,1 szegmens,12 láb sugarú kör,Állóképesség-próba,,,,,,,"A bárd ezzel a varázslattal hatalmas erejű hangot hoz létre, mely orkánként söpör végig a környéken, s még mérföldekkel távolabb is hallható. A varázslat ellen minden hallószervvel rendelkező lénynek Akaraterő-próbát kell dobnia. Ha ez sikertelen, 2k6 Sp-t veszítenek, s örökre megsüketülnek. A sikeresen ellenállók csak 1k6 Sp-t veszítenek, s mindössze 1k10 percre válik hallásuk használhatatlanná. A 12-nél kevesebb maximális Fp-jű lények, ha talpon maradtak egyáltalán, menekülni kezdenek a borzalmas hang forrása elől, s 5 körig legjobb tudásuk szerint távolodnak a bárdtól. A varázslat hatóköre 12 láb, minden azon belül tartózkodó lényre hat - kivéve természetesen a bárdot."
Hangcsapás,bárd,"Hangmágia
",3,1,1 szegmens,1 szegmens,50 láb,-,,,,,,,"A varázslattal a bárd szörnyű, metsző hangot hallat, mely bántja a közelében tartózkodók fülét, s több száz lábra is eb hallatszik. A hangforrás szomszédságában minden nem mágikus üvegtárgy és tükör szilánkokra törik. A varázslat 50 lábnyi körön belül bármilyen távolságban megidézhető; az üveg' törés hatósugara 10 láb+1/2 láb szintenként. A hang egy szegmensen keresztül hallható."
Hangidézés,bárd,"Hangmágia
",8,1,5 kör,2 perc/szint,10 láb,-,,,,,,,"A bárd ezzel a varázslattal valamely rég történt esemény hangjait idézheti fel. Csak olyan események jöhetnek szóba, melyeknek a bárd (fül)tanúja volt: a hangok emlékezetéből származnak. A varázslat folyamatos koncentrálást igényel, tartama alatt szokványos tevékenység nem végezhető - kivételt csak az éneklés vagy muzsikálás jelent, melyekre a bárd ilyen állapotban is képes. A varázslat segítségével a bárd, miközben hősi éneket dalol, megidézheti annak valódi hangjait is, ezzel színesítve előadását. A varázslat hatóideje 2 perc szintenként."
Bűvhangszer,bárd,"Hangmágia
",4,1,1 szegmens,10 perc/szint,a bárd hangszere,-,,,,,,,"A bárd hangszerének hangját változtathatja e varázslat segítségével. A hangszer bármilyen, a bárd által ismert hangszer hangján megszólalhat, s tökéletesen utánozza azt. A bárd új hangokat, hangzást is létrehozhat, ha talál egy viszonyítási hangot, amiből a dallamskála létrejöhet. Lehet ez madár-hang vagy akár távoli, ismeretlen hangszer egy-egy dallamfoszlánya is. További Mana-pontok felhasználásával a hangzás megsokszorozható, avagy más hangszerek is szólhatnak a fiúi alatt. A megsokszorozás több zenész hatását idézi, s plusz szólamonként 2 Mana-pontba kerül. Ha a szólamot a bárd szeretné eltolni, azaz kánont létrehozni, erre is van módja, de ennek ára további 2 Mana-pont. Ha más hangszer is kapcsolódik a zenedarabba, ennek létrehozása 3 Mana-pont, szólamhoz csatolása 2 Mana-pont, ami összesen 5 Mana-pontot jelént. Ha az új hangszer szólama kánonban kerül felhasználásra, ez további 2 Mana-pont, de az új eszköz szólamai is sokszorozhatóak 2 Mana-pontért. így egy igazi, magas Tapasztalati Szintű bárd tíz-tizenöt ember helyett is játszhat több, egymástól különböző hangszeren, kánonhatást keltve. A varázslat hatóideje 10 perc szintenként."
Hangteremtés,bárd,"Hangmágia
",2,1,1 szegmens,5 perc/szint,12 láb sugarú kör,-,,,,,,,"A varázslattal a bárd egy tetszőleges pontról hangot bocsáthat ki. Ez lehet a saját hangja, de bármilyen természetes vagy mesterséges zaj is, esetleg más nyelvű beszéd vagy állati hang. A kijelölt hangforrásnak 12 láb sugarú körön belül kell lennie. Hangja nem lehet harsányabb a kiáltásnál, de ezt a megkötést leszámítva a bárd azt tesz, amit akar. A varázslatra végig koncentrálnia kell, az Időtartam maximum 5 perc szintenként."
Hangkivetítés,bárd,"Hangmágia
",6,1,1 szegmens,1 óra,50 láb,-,,,,,,,"Hatása a Hangteremtés varázslatéra emlékeztet, jellegében azonban különbözik attól. A bárd ebben az esetben nem teremt hangot, hanem saját és közvetlen környezetének hangjait vetíti ki más helyre. A varázslat önmagában is használható, de különös előszeretettel alkalmazzák a bárdok a Fantom varázslattal együtt. Ekkor ugyanis a képhez a hang is megteremtődik, s az illúzió majdnem tökéletessé válik. Adódhatnak persze apró hibák, például az illúzió száraz úton halad, mialatt a bárd mély pocsolyába lép - ilyenkor ugyanis a loccsanás hangjának is az illúzió lesz a forrása, s ez bizony, gyanús lehet. A varázslat hatósugara 50 láb, Időtartama pedig egy óra."
Láthatatlanság,bárd,"Fénymágia
",4,1,1 szegmens,1 óra,"-
",-,,,,,,,"Ez a varászlat kétélű fegyver. Alkalmazásakor a bárd fizikális látással (normál, infra, ultra) nem felfedezhető. A fény egyszerűen átsiklik rajta, ebből adódik azon kellemetlen következmény, hogy a bárd számára is láthatatlan lesz: nem képes érzékelni azt. Röviden szólva, a varázslat idejére megvakul. A varázslat ideális lehet rövid rejtőzésre vagy olyan alkalommal, amikor a mozdulatlanság, a világtalanság valamilyen oknál fogva nem okoz gondot az alkalmazónak. A varázslat maximum 1 órán át tart, addig a bárdot csak hang, asztrális, illetve mentális jelenlét alapján lehet felfedezni."
Aura,bárd,"Fénymágia
",3,1,1 szegmens,10 kör,10 láb,-,,,,,,,"A bárd fénylő kontúrvonalat helyezhet el máson, avagy saját magán. Ha magára olvassa a varázslatot, a fény derengő, hatalmat sejtető aura lesz, mely sokkal erősebbnek, tökéletesebbnek mutatja őt. Szépsége időlegesen eggyel nő, s fellépése is megváltozhat. Ha a fényaura másra kerül, annak testét vékony, erős fénycsík öleli körül. Így sötétben könnyebb eltalálni VÉ-je 10-zel csökken kézi, és 20-szal döbő-, illetve lőfegyverek ellen. A fényaura világosban is segíti a támadást, az áldozat VÉ módosítói feleződnek. Az aura 10 körig marad a kiválasztott lény körül, azután eltűnik."
Vakság okozás,bárd,"Fénymágia
",8,1,1 szegmens,3 kör,10 láb,-,,,,,,,"A mágia meglehetősen erős, nincs ellene Mágiaellenállás. Lényege, hogy az áldozat szeme előtt egy hajszálnyival minden fényt kiolt - akár egy hártyavékony sötétségvarázs. Az áldozat csak a varázslat hatóidejének lejártával lesz képes újra látni. Az időtartam 3 kör, de 4 Mana-pontért ez további 3 körrel növelhető."
Ködalak,bárd,"Fénymágia
",4,1,1 szegmens,3 kör/szint,"-
",-,,,,,,,"A varázslat hatására a bárd körvonalai elmosódnak, ez jelentősen megzavarja ellenfeleit. Minden ellene irányzott támadás, ha azt kézi fegyverrel hajtják végre, 15-tel, ha dobó- vagy lőfegyverrel, 30-cal csökken. A varázslat hatóideje 3 kör szintenként, s a bárd csak önnön magára alkalmazhatja."
Fantom,bárd,"Fénymágia
",23,3,3 szegmens,1 óra,"-
",-,,,,,,,"A bárd ezen varázslattal láthatatlanná válhat, ám képe mégsem tűnik el a szemlélők elől. Az önnön testéről visszaverődő fénysugarakat ugyanis ""áthelyezi” a tér egy tetszőleges, ám tizenöt lábon belül eső pontjára. A bárd képe tehát ott jelenik meg. Az illúzió tökéletes, s mindenben híven követi létrehozója mozdulatait. Figyelem! A mozdulatok nem hamisíthatóak, s a hang is mindig a valódi bárd irányából érkezik. A bárd egyébként bármely pillanatban belesétálhat saját illúzióképébe, a varázslatot ez nem befolyásolja. így, ha beszélni szeretne, a hang a megfelelő helyről érkezik majd. A varázslat hatóideje 1 óra. Az illúziókép soha sem távolodhat el 15 lábnál messzebb létrehozójától."
Hasonmás,bárd,"Fénymágia
",6/hasonmás,2,2 szegmens,5 kör,-,-,,,,,,,"E varázslat segítségével a bárd létrehozhatja saját képének pontos mását, egy látványillúziót. A varázslat sokban hasonlít a Fantomhoz, ám fontos különbség, hogy a bárd e varázslat során maga is látható marad. Az összes létrejövő illúzió követni fogja minden mozdulatát, s tökéletesen megkülönböztethetetlen lesz tőle. A varázslattal 6 Mana-pontért egy hasonmás teremthető, s minden további hat Mana-pontért egy-egy. A hasonmások 5 körig léteznek, csak akkor tűnnek el, ha a varázslat időtartama lejár, avagy a bárd eloszlatja őket."
Félelmetes fegyver,bárd,"Fénymágia
",3,1,1 szegmens,8 kör,lásd a leírásban,-,,,,,,,"A bárd egyik ravasz illúziója. Ha kardot ránt, s ráolvassa ezt a varázslatot, a fény a kedve szerint táncol a pengén. A fegyver kéken dereng, avagy lángok övezik, netán ragyogón fénylik. A sebzésre ez a fény nincs hatással, de az ellenfél harci kedvére annál inkább - igaz, csak akkor, ha még ismeretlen számára ez az illúzió. Amennyiben így van, s nem dobja meg Intelligenciapróbáját, bizonytalanul harcol majd tovább, TE-je és VÉ-je 5-tel csökken. A varázslat 8 körig tart, azután eloszlik. Ha a lény tudvalevőleg retteg a kiválasztott anyagtól, (pl. állatok a tűztől) a módosítók a következők szerint változnak: TÉ: -15 VÉ: -5"
Bűvharc,bárd,"Fénymágia
",16,1,1 szegmens,kör/szint,lásd a leírásban,,,,,,,,"Összetett fénymágia, segítségével a bárd közelharcban zavarja meg ellenfelét. A varázslat hatása ugyanis a következő: a bárd fegyvert forgató keze láthatatlanná halványul, illúzió képe elválik a valóságos kéztől, s harc közben egyéni életet él. Csak valósan végrehajtható mozgásokat végez, így elég nehezen fedezhető fel a csalás. Az illúzió kéz és fegyver nem okoz valódi sebzést, de a varázslat erre is megoldást kínál: az illúzió fegyver akkor csap le, amikor a valóságos is célba talál. A harc így meglehetősen érdekes lesz, hiszen az ellenfél mindig az illúzió ellen védekezik, ám egész máshonnan sújt le rá a valódi. Ebből a hátrányból fakadóan védekező értéke a felére csökken. Ha rájön arra, hogy a fegyver és a kar csak illúzió, a VÉ csak háromnegyede lesz az eredetinek. JK esetében magának a játékosnak kell a trükköt felismernie, NJK-k -4-gyel Intelligencia próbát dobhatnak. A varázslat hatóideje 1 kör szintenként."
Szépségvarázs,bárd,"Fénymágia
",12,2,1 kör,6 óra ,-,-,,,,,,,"A varázslat segítségével a bárd elváltoztathatja külsejét, s rövid időre ugyan, de szépségét 20-as értékűre növelheti. A varázslat tisztán fényalapú illúzió, a felvett arc formáját a felhasználó nem befolyásolhatja. A varázslat minden egyes alkalommal ugyanazt az arcot fogja létrehozni, mely az első alkalommal kialakult. A varázslat hatóideje 6 óra, de 8 Mana-pont befektetésével további 8 órával növelhető meg."
Tárgy láthatatlanság,bárd,"Fénymágia
",8,1,1 kör,3 kör/szint,12 láb,-,,,,,,,"A bárd ezen varázslattal eltüntethet tárgyakat, melyek 12 lábnyi körzetében találhatóak. A tárgynak csak a képe tűnik el, ezért továbbra is tapintható, hallható, érezhető lesz. Az illúzió segítségével egyszerűen elrejthetők tárgyak a kutató tekintetek elől, avagy bárki zavarba hozható, ha valamely ruhadarabja hirtelen eltűnik. Ez lehetséges a személyes aura jelenléte ellenére is, mert a bárd nem a ruhára varázsol, hanem az arról visszaverődő fényre. A tárgy nem lehet nagyobb 1x 1x 1 lábnál szintenként, s a varázslat csak egy tárgyra mondható rá. A bárd saját fegyverére is alkalmazhatja a varázslatot, ekkor az általa megtámadottak VÉ-je közelharcban 25-tel csökken. Ám ha a bárd dobta vagy kilőtte a fegyvert, a módosító értéke -50-re változik. A távolság miatti VE nagysága nem változhat a láthatatlan lövedék miatt! A varázslat hatóideje 3 kör szintenként."
